number	status	branch	owner	patch_set	insertions	deletions	subject
57261	NEW	master	Alex Zhuravlev	75	831	33	LU-7426 obdclass: indexed llog
57262	ABANDONED	master	Aurelien Degremont	1	1	1	LU-0000 dbg: debug krb flavor
57263	ABANDONED	master	Patrick Farrell	1	62	21	LU-0000 utils: debug
57264	ABANDONED	master	Patrick Farrell	1	130	17	LU-17814 utils: fixes - deep copy, dupe()
57266	NEW	master	Jian Yu	5	1	0	LU-17361 tests: debug lustre-rsync-test/2a
57269	ABANDONED	master	Sergey Cheremencev	2	183	18	LU-18222 quota: project Pool Quotas POC
57270	MERGED	master	Artem Blagodarenko	6	84	13	LU-930 man: add proper documentation for replace_nids command
57271	MERGED	master	Artem Blagodarenko	3	30	3	LU-11648 mgs: Create white list for CONFIGS directory files
57272	MERGED	master	Shaun Tancheff	12	85	52	LU-18506 ptlrpc: improve lu_env_add error handling
57273	NEW	master	Alex Zhuravlev	11	3	1	LU-18507 obdclass: drop unused plain llogs
57274	MERGED	master	Alex Zhuravlev	4	1	1	LU-18508 obdclass: llog test to set lpi_rc
57277	NEW	master	Qian Yingjin	2	228	19	LU-18509 nrs: define a TBF rule with a range of projid/uid/gid
57278	MERGED	master	Lai Siyao	4	17	176	LU-12029 utils: remove max_sectors_kb tuning
57287	ABANDONED	master	Timothy Day	1	2	0	LU-17995 osd-mem: test
57290	MERGED	master	Emoly Liu	2	1	1	LU-16318 tests: wait longer for MDT destroys to complete
57291	MERGED	master	Qian Yingjin	3	5	1	LU-18510 llite: free op_data upon error only when alloc inside
57292	MERGED	master	Patrick Farrell	15	160	15	LU-17814 utils: implement thread pool
57293	MERGED	master	Patrick Farrell	14	186	8	LU-17814 utils: Add work unit management
57294	MERGED	master	Patrick Farrell	15	131	2	LU-17814 utils: Add deep copy of find_param
57295	MERGED	master	Patrick Farrell	14	25	12	LU-17814 utils: implement real pfind
57296	NEW	master	Arshad Hussain	8	57	0	LU-16375 ldlm: log more info under ptlrpc_watchdog_fire()
57305	MERGED	master	James Simmons	3	94	72	LU-11850 obd: support the rest of "stats" with Netlink
57306	MERGED	master	Patrick Farrell	30	375	30	LU-17814 utils: Enable pfind by default
57309	ABANDONED	master	James Simmons	10	2	2	LU-18515 build: Update ZFS version to 2.3.0
57313	ABANDONED	master	Patrick Farrell	3	84	11	LU-17814 utils: add error handling to pfind
57314	MERGED	master	Jian Yu	2	6	6	LU-18129 tests: except sanity-lnet/230 due to failures
57320	MERGED	master	Sohei Koyama	4	4	1	LU-18517 quota: fix LC_HAVE_DQUOT_QC_DQBLK check
57321	MERGED	master	Alex Zhuravlev	30	8	2	LU-18520 tests: sanity/104d to count mdt/obdfilter
57323	NEW	b2_15	Lai Siyao	2	4	0	LU-12029 utils: deprecate max_sectors_kb
57324	MERGED	master	Alex Zhuravlev	21	6	3	LU-18519 tests: sanity/103a to check /etc/group
57325	MERGED	master	Andreas Dilger	3	22	24	LU-12597 tests: remove comma_list for MDTs part 2
57326	MERGED	master	Andreas Dilger	4	12	11	LU-12597 tests: remove comma_list for MDTs part 3
57327	MERGED	master	Jian Yu	2	2	2	LU-18518 ldiskfs: fix htree_lock array-index-out-of-bounds
57333	MERGED	master	Sohei Koyama	3	8	4	LU-18518 ldiskfs: fix LC_SRC_NFS_FILLDIR_USE_CTX check
57334	MERGED	master	Sohei Koyama	6	2	2	LU-18522 utils: fix -export-dynamic flag
57336	MERGED	master	Timothy Day	3	31	12	LU-17995 libcfs: implement libcfs_subsystem_debug
57337	MERGED	master	Qian Yingjin	2	2	0	LU-18523 tests: wait statahead thread quit during cleanup
57344	MERGED	master	James Simmons	2	4	4	LU-15420 sec: fix native fscrypt builds
57348	NEW	master	James Simmons	9	62	75	LU-18175 ldlm: replace namespace lock with RCU
57350	MERGED	master	Serguei Smirnov	9	10	6	LU-18129 tests: wait longer for tcp connections to establish
57351	MERGED	master	Timothy Day	2	178	1020	LU-6142 obdclass: SPDX for OBD Class
57352	MERGED	master	Shaun Tancheff	3	48	1	LU-18526 ldiskfs: restore el9.4 before [5.14.0-427.42.1.el9_4]
57354	MERGED	master	Etienne AUJAMES	2	14	14	LU-18170 obdclass: replace round_up(*_inllenX*) with ALIGN
57356	ABANDONED	master	Timothy Day	2	6	200	LU-17242 libcfs: use sched_show_task() for thread dumping
57357	NEW	master	Patrick Farrell	4	4	2	LU-11962 mdt: lazy as strict som
57358	NEW	master	Arshad Hussain	1	2	2	LU-17679 tests: Just for test
57359	MERGED	master	Arshad Hussain	2	1	0	LU-17679 tests: Disable sanity/851
57368	MERGED	master	Sebastien Buisson	3	2	1	LU-18086 sec: fix warning message for insufficient memory
57370	MERGED	master	Vitaliy Kuznetsov	16	265	221	LU-14772 tests: Add conf-sanity-framework.sh
57371	NEW	master	Vitaliy Kuznetsov	16	2185	2069	LU-14772 tests: Separate "old version upgrade" tests
57372	NEW	master	Vitaliy Kuznetsov	13	383	303	LU-14772 tests: Separate tests that require a separate MGS
57373	NEW	master	Vitaliy Kuznetsov	3	3039	2970	LU-14772 tests: Separate tests that require reformat
57382	MERGED	master	Qian Yingjin	2	5	4	LU-18536 statahead: dec inuse count when waiting entry timeout
57385	MERGED	master	Alex Zhuravlev	7	49	65	LU-18535 ptlrpc: do not use kstrndup()
57386	MERGED	master	Timothy Day	5	55	66	LU-18538 ldlm: use bitmap for NS flags
57387	MERGED	master	Alex Zhuravlev	2	31	27	LU-18539 libcfs: introduce OBD_FREE_RCU()
57388	MERGED	master	Timothy Day	2	93	91	LU-6142 contrib: update checkpatch.pl to 6.13-rc3
57391	MERGED	master	Frederick Dilger	3	26	14	LU-16446 utils: fix issues with llapi_get_lmm_from_path()
57392	MERGED	master	Jian Yu	2	10	13	LU-18533 build: fix the common.postinst nonexistence issue
57395	MERGED	master	Guillaume Courrier	4	182	5	LU-16561: find: support width in -printf directive
57396	NEW	master	Etienne AUJAMES	1	71	64	LU-18498 hsm: optimize mdt_agent_record_update()
57400	MERGED	master	James Simmons	3	1	25	LU-8066 obdecho: remove last user of lprocfs_uuid_seq_show
57401	MERGED	master	James Simmons	6	67	72	LU-8066 nodemap: migrate to debugfs
57404	NEW	master	Patrick Farrell	1	54	4	LU-18541 doc: Update man page see also
57405	MERGED	master	Chris Horn	2	17	6	LU-18540 lnet: Fix lnetctl ping timeout parsing
57406	MERGED	master	Andreas Dilger	2	1	1	LU-930 misc: update .mailmap again
57408	MERGED	master	Andreas Dilger	2	63	16	LU-17000 libcfs: quiet Coverity LIBCFS_ALLOC warning
57420	NEW	master	Li Dongyang	6	37	19	LU-18550 osd-ldiskfs: oied_name is not null-terminated
57421	MERGED	master	Alex Zhuravlev	14	12	1	LU-18552 mdd: serialize changelog init vs access
57426	NEW	master	Patrick Farrell	3	47	15	LU-18553 llite: ensure layout refresh on fast read
57427	MERGED	master	Patrick Farrell	4	34	34	LU-18554 llite: improve *_env_thread_* names
57428	MERGED	master	Alexander Boyko	18	548	755	LU-18556 hsm: optimize llog record modification
57432	MERGED	master	Alex Zhuravlev	3	6	2	LU-18557 ldlm: save ldlm namespace ops for use
57434	MERGED	master	Alex Zhuravlev	4	12	10	LU-18558 scrub: don't release os_ls_fids too early
57436	NEW	master	Mikhail Pershin	1	25	16	LU-18559 target: mount shouldn't fail on -ENOSPC
57448	MERGED	master	Marc Vef	8	57	26	LU-18524 utils: Improve lctl nodemap_modify interface
57449	MERGED	master	Marc Vef	2	11	6	LU-18560 utils: Fix ldiskfs_write_dd Coverity warnings
57452	MERGED	master	Timothy Day	4	4	0	LU-18515 build: fix configure checks for ZFS 2.2.3
57453	NEW	master	Timothy Day	1	260	20	LU-14407 osd-zfs: per-IO direct IO support
57454	NEW	master	Alexey Lyashkov	29	644	103	LU-18461 layout: allow to be started from zero offset.
57455	NEW	master	Alexey Lyashkov	27	822	48	LU-18461 layout: join file implementation.
57456	MERGED	master	Alex Zhuravlev	62	596	49	LU-18562 osd: llog write batch block allocation
57457	MERGED	master	James Simmons	2	22	30	LU-8066 sysfs: fixup max_dirty_mb
57458	MERGED	master	James Simmons	3	32	47	LU-8066 osc: migrate simple procfs files to sysfs
57468	MERGED	master	Richard Henwood	4	12	3	LU-18564 doc: difference between lfs 'osts' and 'check ost'
57481	NEW	master	Jian Yu	1	59	1	LU-18567 mdc: non blocking close and changelog release
57484	NEW	master	Jian Yu	1	52	11	LU-18568 lustre: add allow_intr param to mdc and osc
57488	MERGED	master	Sebastien Buisson	3	6	1	LU-18571 nodemap: fix coverity issues in range_create()
57489	MERGED	master	Chris Horn	5	48	27	LU-15135 lnet: Add defines for state of routing
57490	MERGED	master	Chris Horn	6	221	44	LU-15135 lnet: Graceful router removal and addition
57491	MERGED	master	Chris Horn	5	126	26	LU-18555 lnet: Track successful and failed resends
57492	MERGED	master	Chris Horn	5	138	85	LU-18444 lnet: Use only NI status for route aliveness
57493	MERGED	master	Chris Horn	5	52	175	LU-18444 lnet: Remove per-peer health sensitivity
57494	MERGED	b2_15	Chris Horn	2	7	6	LU-18572 lnet: Uninitialized var in lnet_peer_add
57501	MERGED	master	Rajeev Mishra	5	24	3	LU-18421 utils: Do not inherit stripe size from DOM component
57502	ABANDONED	master	Rajeev Mishra	1	14	0	LU-18421 test: Verify Default Stripe Size Creation
57503	NEW	master	Arshad Hussain	1	30	44	LU-00000 ptlrpc: Change struct nrs_tbf_rule to use kref
57504	ABANDONED	master	Shaun Tancheff	1	36	6	LU-18360 zfs-osd: za_name flexible array
57505	ABANDONED	master	Jian Yu	1	5	5	LU-18542 kernel: update RHEL 9.5 [5.14.0-503.16.1.el9_5]
57509	ABANDONED	master	Arshad Hussain	1	29	44	LU-00000 ptlrpc: Change struct nrs_tbf_rule to use kref
57510	MERGED	master	Alex Zhuravlev	4	17	8	LU-18576 obdclass: do not update llog's timestamp each time
57511	ABANDONED	master	Shaun Tancheff	1	4	5	LU-18575 build: dkms removed common.postinst
57514	MERGED	master	Caleb Carlson	6	469	178	LU-18566 lnet: dynamically configure timeouts
57519	MERGED	master	Andreas Dilger	11	66	43	LU-18579 utils: lfs_migrate should inherit OST pool
57521	MERGED	master	Alex Zhuravlev	4	1	1	LU-18580 osc: don't use old mtime from lvb
57522	NEW	master	Qian Yingjin	5	1323	4	LU-13047 wbc: embeded MemFS for the basic MetaWBC framework
57523	MERGED	master	Marc Vef	6	172	59	LU-18357 ptlrpc: Use dynamic memory allocation for filesets
57526	MERGED	master	Sebastien Buisson	6	112	3	LU-18581 sec: add hsm_ops rbac role
57527	MERGED	master	Marc Vef	7	84	33	LU-18357 ptlrpc: Add fileset ID handling on the nodemap IAM
57531	MERGED	master	Sergey Cheremencev	3	25	14	LU-18582 tests: fix conf-sanity/82b random OST idx
57541	NEW	master	Hongchao Zhang	31	314	31	LU-18583 quota: show pool quota in lfs quota -a
57542	MERGED	master	Timothy Day	3	4	4	LU-16565 target: Remove ldlm is,set,clear macros
57543	MERGED	master	Timothy Day	2	3	3	LU-16565 quota: Remove ldlm is,set,clear macros
57544	MERGED	master	Timothy Day	2	8	8	LU-16565 osc: Remove ldlm is,set,clear macros
57545	MERGED	master	Timothy Day	2	8	8	LU-16565 mdt: Remove ldlm is,set,clear macros
57546	NEW	master	Timothy Day	1	8	6	LU-16565 llite: Remove ldlm is,set,clear macros
57547	MERGED	master	Timothy Day	2	7	7	LU-16565 mdc: Remove ldlm is,set,clear macros
57548	NEW	master	Timothy Day	2	23	23	LU-16565 ldlm: [1] Remove ldlm is,set,clear macros
57549	MERGED	master	Timothy Day	3	58	56	LU-16565 ldlm: [2] Remove ldlm is,set,clear macros
57550	NEW	master	Timothy Day	1	76	76	LU-16565 ldlm: [3] Remove ldlm is,set,clear macros
57552	MERGED	master	Li Dongyang	2	1	1	LU-18584 tests: fix OSTSIZE for conf-sanity/106
57555	MERGED	master	Andreas Dilger	4	3	0	LU-18109 tests: skip sanity-sec test_27ab for old MDS
57557	NEW	master	Qian Yingjin	2	427	13	LU-13047 wbc: add tunables to enable/disable/config WBC
57560	MERGED	master	Mikhail Pershin	10	70	57	LU-18587 utils: allow large NID lists in mount tools
57565	MERGED	master	Zhenyu Xu	9	28	9	LU-18588 obdclass: keep track of cl_page's bufsize
57570	MERGED	master	Alex Zhuravlev	5	5	2	LU-7021 osd: fix credits optimization
57572	NEW	master	Zhenyu Xu	11	76	29	LU-18592 lod: protect lod in-memory layout's change
57573	MERGED	master	Elena	2	165	12	LU-18594 tests: add vmstat and recovery status info
57574	MERGED	master	Alexander Boyko	5	82	32	LU-18595 osd-ldiskfs: use local fake file for iteration
57576	MERGED	master	James Simmons	5	1	1	LU-8585 test: fix sanity/200 looping breakage
57577	MERGED	master	Sergey Cheremencev	3	7	7	LU-18596 ldlm: avoid LBUG in ll_lock_cancel_bits
57582	NEW	master	Qian Yingjin	2	142	56	LU-13047 wbc: server intent create for child with EX lock return
57583	MERGED	master	Alex Zhuravlev	3	3	6	LU-10375 ptlrpc: fix error handling after tx creation
57584	NEW	master	Qian Yingjin	2	604	23	LU-13047 wbc: asynchronous intent create on client side
57585	NEW	master	Qian Yingjin	4	311	2	LU-13047 wbc: flush children when during BAST of the WBC EX lock
57587	MERGED	master	Alex Zhuravlev	2	20	17	LU-18599 mdc: assign mod_close_req when RPC is ready
57592	NEW	master	Qian Yingjin	2	144	15	LU-13047 wbc: mkdir with excl root WBC EX lock return to client
57593	NEW	master	Qian Yingjin	1	205	1	LU-13047 wbc: obtain the WBC state of a file or directory
57594	NEW	master	Qian Yingjin	2	418	0	LU-13047 wbc: add test case suite sanity-wbc.sh for MetaWBC
57599	MERGED	master	Alex Zhuravlev	13	2	0	LU-18602 osc: don't block async enqueues
57600	MERGED	master	Marc Vef	11	326	7	LU-18357 ptlrpc: Add alternate fileset data structure handler
57603	ABANDONED	master	Jian Yu	1	5	5	LU-18589 kernel: update RHEL 9.5 [5.14.0-503.19.1.el9_5]
57606	MERGED	master	Alex Zhuravlev	3	1	0	LU-18605 tests: give time to start in sanityn/31s
57607	MERGED	master	Timothy Day	3	78	50	LU-17000 contrib: update coverity-run script
57608	ABANDONED	master	Timothy Day	3	1	1	LU-17000 obd: check for NULL ptr in OBD_FREE_LARGE
57609	MERGED	master	Marc Vef	16	524	39	LU-18357 ptlrpc: Multiple fileset support on client mount
57611	MERGED	master	Qian Yingjin	8	8	5	LU-18608 pcc: fix INTEGER_OVERFLOW in pcc_file_read_iter()
57612	NEW	master	Qian Yingjin	3	329	69	LU-18456 mdt: create trash dir for MDT after MDT stack setup
57613	MERGED	master	Zhenyu Xu	3	3	3	LU-18609 ldlm: use of logical '&&' with constant operand
57616	MERGED	master	Shaun Tancheff	7	11	0	LU-18610 obdclass: add job expired flag
57617	NEW	master	James Simmons	5	221	175	LU-10499 utils: use libyaml for pin xattr handling
57621	ABANDONED	master	Timothy Day	1	111	0	LU-17000 contrib: add git-remote-status
57624	ABANDONED	master	Lai Siyao	2	1	4	LU-18611 lfsck: stop all should work
57627	ABANDONED	master	Arshad Hussain	12	21	9	LU-18606 ldlm: Fix atomic to refcount port for NRS/TBF
57635	ABANDONED	master	Alex Zhuravlev	6	3	0	LU-0000 tests: check parsing in sanity/60a
57638	MERGED	master	Hongchao Zhang	12	23	27	LU-18612 quota: update usage in glimpse AST
57639	MERGED	master	Lai Siyao	4	25	45	LU-18611 lfsck: stop returns after thread stopped
57651	MERGED	master	Sebastien Buisson	3	1	275	LU-18591 sec: remove support for idmap.conf
57652	NEW	b2_15	Etienne AUJAMES	2	18	6	LU-16637 llite: call truncate_inode_pages() under inode lock
57653	NEW	b2_15	Etienne AUJAMES	2	336	97	LU-16637 llite: call truncate_inode_pages() in inode lock
57654	NEW	b2_15	Etienne AUJAMES	2	47	11	LU-16958 llite: migrate vs regular ops deadlock
57655	NEW	b2_15	Etienne AUJAMES	2	63	11	LU-16637 llite: tolerate fresh page cache pages after truncate
57657	ABANDONED	master	Andreas Dilger	2	0	3	LU-18225 build: remove virtio patch from el9.3-
57659	MERGED	master	Frederick Dilger	4	10	8	LU-17501 libcfs: fix ncpt check for cpt patterns
57661	ABANDONED	master	Andreas Dilger	5	0	3	LU-18225 build: remove virtio patch from el9.3-
57662	MERGED	master	Jian Yu	4	2	3	LU-18613 lbuild: fix RPMBUILD in lbuild
57663	ABANDONED	master	Timothy Day	1	6	0	LU-0000 misc: test patch
57665	ABANDONED	master	Timothy Day	3	446	3	LU-17242 libcfs: implement LUSTRE_TRACE
57666	ABANDONED	master	Andreas Dilger	1	9	3	LU-18533 build: unfix common.postinst for older DKMS
