number	status	branch	owner	patch_set	insertions	deletions	subject
188	ABANDONED	master	Oleg Drokin	1	1	1	Unbreak module parameters parsing to properly pass desired module parameters when inserting modules from build tree.
202	MERGED	master	Oleg Drokin	4	1	1	Properly pick module parameters from modules.conf
207	MERGED	master	Brian J. Murrell	5	2	2	b=24413 fix for automake > 1.9.6
212	MERGED	master	Brian J. Murrell	6	2	2	b=24417 Update Build-Depends
213	MERGED	master	Brian J. Murrell	6	92	48	b=24416 debian packaging fixes
214	MERGED	master	Brian J. Murrell	9	6	1	LU-53 run autogen if a Makefile.am is patched
215	ABANDONED	master	Brian J. Murrell	2	4	0	debug building on oleg's ubuntu machine
216	MERGED	master	Brian J. Murrell	9	41	46	b=21581 too long file / path names for old tar
217	ABANDONED	master	Brian J. Murrell	2	53	42	fake debian/patche{s,d} for make dist
218	ABANDONED	master	Brian J. Murrell	8	2	1	specify build Makefile from Makefile.in
221	ABANDONED	master	Brian J. Murrell	1	2	2	b=24413 fix for automake > 1.9.6
222	MERGED	master	Brian J. Murrell	5	40	44	b=21581 too long file / path names for old tar
223	MERGED	master	John Spray	4	378	5	Updates to test scripts:  * Add auster test-runner script  * Add integration with maloo test DB
229	MERGED	master	Oleg Drokin	3	20	11	b=24375 Fix lvb updating race in enqueue vs completion case
236	ABANDONED	master	Fan Yong	2	37	5	ORNL-5 Cache mapping fid to ino in osd
237	ABANDONED	master	Fan Yong	3	146	50	Fix race conditions related with statahead
238	MERGED	master	Fan Yong	2	73	10	b=24226 SUID/SGID related processing
239	ABANDONED	master	Fan Yong	1	65	67	Enable/disable MDT layer ACL flag according to backend mount options
240	ABANDONED	master	Fan Yong	1	890	177	Improve the performance for traversing directory
241	MERGED	master	Zhenyu Xu	12	307	90	LU-16 Allow objects larger than 2TB in size
243	ABANDONED	master	Fan Yong	39	1933	934	ORNL-1 Test patch for improving the performance for traversing directory
244	MERGED	master	Robert Read	2	27	19	Don't upload to maloo by default
245	ABANDONED	master	James Simmons	1	17	17	b=14929 cleanup in lustre test suite
247	MERGED	master	Niu Yawei	2	226	212	b=22980 improve obdfilter-survey performance on multi-core system
248	MERGED	master	James Simmons	3	32	14	LU-864 test: Hostname name doesn't equal NID and use facet_mntpt
249	MERGED	master	James Simmons	5	35	4	LU-250 lnet: Router random shuffling support
250	ABANDONED	master	James Simmons	1	30	23	b=14929  Handle ost numbering and info parsing in test suite
251	MERGED	master	James Simmons	3	17	17	LU-322 tests: Pool test fixes for large number of OSTs
252	MERGED	master	James Simmons	7	7	6	LU-577 tests: FAIL replay-single test_70b rundbench load
253	MERGED	master	James Simmons	2	7	7	LU-321 Don't assume file system name for some test
254	MERGED	master	James Simmons	1	1	1	No bugzilla for this. One of the test failing was config-sanity.sh test number 37. So I tracked it down to way. The reason was the mounts were failing. Upon investigation I discovered the test caught a error reported back by the mount. I tracked it down to the section of code in the patch. Basically mount_lustre.c attempts to set the stripe_cache_size for /dev/mdX devices. The problem is this extra feature is present for certain classes of md devices. In the case of our test bed we are one of the classes that lacks this enhancement. So instead of failing to mount in that case we just print a warning that the special param is not present but still succed to mount.
255	MERGED	b1_8	Niu Yawei	3	38	116	b=22729 Remove LPSZ & LPSSZ
256	ABANDONED	b1_8	Niu Yawei	2	131	133	b=22980 improve obdfilter-survey performance on multi-core system
257	MERGED	b1_8	Brian J. Murrell	5	14	1	b=24479 LU-92 files and dirs missing in dist tarball
258	ABANDONED	master	Brian J. Murrell	1	39	44	b=21581 too long file / path names for old tar
259	ABANDONED	master	Brian J. Murrell	1	23	0	Files and dirs missing in dist tarball.
260	MERGED	master	Brian J. Murrell	6	45	33	LU-85 Update some URLs and text to reflect our releases.
261	ABANDONED	master	Christopher J. Morrone	2	6	2	Disable build of llite_lloop module with --disable-server.
262	MERGED	master	Christopher J. Morrone	1	0	1	Remove EXPORT_SYMBOL for static function.
263	ABANDONED	master	Christopher J. Morrone	1	0	8	Remove "Congratulations" message printed at rpm install time.
264	MERGED	master	Christopher J. Morrone	1	2	25	Remove rpm spec code and message related to "alias lustre llite"
265	MERGED	master	Brian J. Murrell	4	4	0	LU-97 lustre-modules should depend on ldiskfs.
266	MERGED	master	Christopher J. Morrone	2	32	2	Make llite_lloop.ko build conditional
268	MERGED	master	Johann Lombardi	3	8	2	LU-91 Fix quota format problem with RHEL6 and kernels >= 2.6.33
269	MERGED	master	John Spray	1	1	1	Add location argument to $upload_script call
270	ABANDONED	master	Brian J. Murrell	1	40	44	b=21581 too long file / path names for old tar
277	MERGED	master	Christopher J. Morrone	1	1	1	LU-25: Use LDLM_ASYNC with ldlm_cancel_lru to avoid blocking.
278	MERGED	master	Robert Read	13	46	10	LU-103 Add support for test groups.
279	ABANDONED	master	Christopher J. Morrone	1	60	4	b=22660 Return kernel's locking return code to when lustre reports success
280	ABANDONED	master	Zhenyu Xu	5	117	35	LU-73 Client patch for RHEL6.
281	MERGED	master	Fan Yong	2	466	67	b=20581 MDS returns full hash for readdir to decrease hash collision
282	MERGED	b1_8	Lai Siyao	9	78	29	LU-73 b=22375 RHEL6 kernel support for 1.8
284	ABANDONED	master	James Simmons	2	2	2	LU-320 replay-single test_65a: @@@@@@ FAIL: No early reply
286	MERGED	master	Fan Yong	2	11	3	b=22703 no error when close if application has known write failure already
288	MERGED	master	Chris Gearing	2	7	6	Add -D logdir option to Auster so that the whole logdir can be specified
289	ABANDONED	master	Brian J. Murrell	1	2	0	a patch first just to replicate the failure
290	MERGED	master	Ned Bass	10	2049	248	LU-107 Add scripts for implementing heartbeat v1 failover
291	MERGED	master	Christopher J. Morrone	1	0	46	Remove obsolete nodelustre script
292	ABANDONED	master	Zhenyu Xu	5	3515	6	LU-73 ldiskfs patch for RHEL6
293	ABANDONED	master	Zhenyu Xu	3	609	0	LU-73 kernel patch for RHEL6
294	MERGED	master	Brian J. Murrell	1	2	3	LU-98 Fix defects in bug 14949 implementation
295	MERGED	master	Ned Bass	3	60	8	LU-84 Allow building against kernel devel headers with quotas
296	ABANDONED	master	Ned Bass	1	43	22	LU-37 create proper macro check for bdi interface
297	MERGED	master	Oleg Drokin	2	1	1	LU-111 Fix force options parsing
298	MERGED	master	Brian J. Murrell	1	3	3	LU-115 get some verbose patching output
299	ABANDONED	b1_8	Prakash Surya	5	322	20	LU-64 Make "lfs getstripe" directory output consistent.
300	ABANDONED	master	Ned Bass	1	1	1	test if ubuntu builds for unmodified master
301	MERGED	master	Jian Yu	1	11	9	LU-116 fix mmp test 9 and test 10
302	MERGED	master	Fan Yong	3	24	18	ORNL-2 Enable OBD_CONNECT_ATTRFID supporting on lustre-2.x
303	MERGED	master	Johann Lombardi	2	4	3	LU-114 use ll_lookup_one_len() instead of lookup_one_len() in sptlrpc_target_local_copy_conf() should lock the parent dir when doing lookup
304	MERGED	master	Brian J. Murrell	1	0	22	LU-119 Remove code added by a conflict resolution
305	MERGED	master	Jinshan Xiong	1	3	2	LU-82 Remove useless clio locks
306	MERGED	master	Christopher J. Morrone	1	2	1	LU-13 updated patch to fix at_min issue
307	MERGED	master	Zhenyu Xu	5	5928	1364	LU-73 RHEL6 support.
308	MERGED	master	Brian J. Murrell	4	1	0	LU-120 the perfect storm
309	ABANDONED	master	Jinshan Xiong	1	115	2	LU-118 clear_inode: BUG_ON(inode->i_data.nrpages)
310	ABANDONED	master	Jinshan Xiong	1	115	2	LU-118 clear_inode: BUG_ON(inode->i_data.nrpages)
312	MERGED	master	Chris Gearing	7	41	18	LU-121 Fixup yaml.sh and test-framework.sh so that it only ever uses the first part of the host name for log files. This means stripping of everything off the name after and including the first .
314	MERGED	master	Oleg Drokin	1	12	19	LU-83 Kernel BUG in ext4 if wrong mount option is given
316	MERGED	master	Jinshan Xiong	5	70	41	LU-122 Revert the patch on bug 21122 and come up with a new fix
325	ABANDONED	b1_8	Lai Siyao	2	147	35	LU-106 unable to handle kernel pagig request in lprocfs_stats_collect()
326	MERGED	master	Lai Siyao	18	104	69	LU-106 procfs: many proc entries are not accessed safely
327	MERGED	master	Oleg Drokin	1	6	5	LU-68 Fix a race between lock cancel and write
328	MERGED	master	Brian J. Murrell	3	7	1	LU-127 RHEL packages should require the kernel
330	ABANDONED	master	Jinshan Xiong	1	3	2	LU-82 Remove useless clio locks
331	ABANDONED	master	Fan Yong	1	23	24	IT-24 fix race conditions between statahead and normal readdir
332	MERGED	master	Brian J. Murrell	2	4657	171	LU-73 lbuild and friends for RHEL6
339	MERGED	master	Johann Lombardi	1	1	1	LU-139 move DCACHE_LUSTRE_INVALID to higher bit to prevent conflict with other dentry flags
340	ABANDONED	master	zhen liang	6	14691	5500	branch for pdirop test
341	MERGED	master	Vitaly Fertman	5	29	10	LU-144 xattr fixes
342	ABANDONED	master	Vitaly Fertman	4	239	233	LU-145 proc stat fixes
343	ABANDONED	master	Vitaly Fertman	1	25	2	LU-110 Old-style quota type handling fix
346	MERGED	master	Vitaly Fertman	5	86	76	LU-147 hash code cleanup
347	MERGED	master	Vitaly Fertman	8	483	256	LU-147 avoid 8k obd device amount limit
349	MERGED	master	Jinshan Xiong	1	1	0	LU-148 ll_readpage has to unlock vmpage by any means
350	MERGED	master	Zhenyu Xu	1	25	28	LU-39 ASSERTION(atomic_read(&client_stat->nid_exp_ref_count) == 0)
351	MERGED	b1_8	Niu Yawei	7	74	19	LU-129 Skip quotacheck on administratively disabled OSTs
352	ABANDONED	b1_8	Prakash Surya	6	39	2	LU-64 Modify the behavior of ioctl on directories without EA set.
353	ABANDONED	b1_8	Lai Siyao	3	34	26	LU-146 executable files on NFS share failed with "Text file busy"        when executed.
354	MERGED	master	Niu Yawei	2	7	1	LU-110 Recognize old mdt.quota_type param
355	ABANDONED	master	James Simmons	3	378	288	LU-65 ORNL Lustre 2.X testing
356	MERGED	master	Brian J. Murrell	2	8	0	LU-92 files and dirs missing in dist tarball
357	ABANDONED	master	Johann Lombardi	1	37	2	LU-154 Prototype of d_compare has changed in 2.6.38
358	MERGED	master	Zhenyu Xu	1	14	0	LU-73 RHEL6 support.
359	MERGED	master	Johann Lombardi	2	12	263	LU-155 cleanup some dead code
360	MERGED	master	Zhenyu Xu	1	4	16	LU-162 Export ext4_discard_preallocations for ldiskfs
361	MERGED	master	Brian J. Murrell	14	41	11	LU-177 lbuild autonomy fixes
362	ABANDONED	master	Brian J. Murrell	1	1	1	CentOS is a "rhel" distro
365	MERGED	master	Fan Yong	1	11	11	ORNL-2 MDS only processes child lock for getattr-by-fid
366	MERGED	master	Christopher J. Morrone	4	105	14	LU-165: Support privileged ports in the o2iblnd driver.
367	MERGED	master	Fan Yong	1	6	2	LU-166 NOT assert wire data from client for getattr-by-fid
368	MERGED	master	Jian Yu	2	13	4	LU-160 check the minimum available size of OST in test_155_load()
369	MERGED	master	Fan Yong	3	1	1	LU-167 Return "-ENOENT" instead of "-ESTALE" when getattr against non-existent object
370	MERGED	master	Fan Yong	3	12	6	LU-168 Claim MDS_INODELOCK_LOOKUP lock when revalidate root object
371	MERGED	master	zhen liang	4	76	34	LU-170 oscc_grow_count will never grow
372	ABANDONED	master	Brian J. Murrell	4	4299	0	LU-73 updates for RHEL6 building
373	MERGED	master	zhen liang	6	8	3	LU-176 obdclass: disable mb_cache by default
374	MERGED	master	zhen liang	3	32	16	LU-143 fid hash improvements
375	MERGED	master	zhen liang	15	2526	64	LU-50 ldiskfs: pdirops patch for ldiskfs
376	MERGED	master	Sarah Liu	5	16	16	TT-59 remove . and - from the node name
377	MERGED	master	Zhenyu Xu	1	32	33	LU-73 Make register_shrinker argument more visible.
378	MERGED	master	Zhenyu Xu	5	97	22	LU-57 Allow OSTs to be created with no primary node
379	MERGED	master	Zhenyu Xu	2	35	15	LU-22 ldlm_resource::lr_lvb_data is protected by wrong lock
380	ABANDONED	b1_8	Brian J. Murrell	3	35	2	LU-177 build fixes for b1_8 jenkins matrix builds
381	ABANDONED	b1_8	Brian J. Murrell	1	1	0	LU-120 the perfect storm
382	ABANDONED	b1_8	Brian J. Murrell	1	58	16	LU-177 merge b=24090 distro and target autodetection
383	ABANDONED	b1_8	Brian J. Murrell	1	214	152	LU-177 merge b=24091 find_linux_rpms utility
384	ABANDONED	b1_8	Brian J. Murrell	1	1	2	LU-177 merge b=24093 not all build files/scripts being distributed
385	MERGED	b1_8	Brian J. Murrell	3	100	0	LU-62 rhel6 support
386	ABANDONED	b1_8	Brian J. Murrell	5	640	283	LU-177 lbuild autonomy fixes
387	MERGED	master	Niu Yawei	3	85	29	LU-129 Skip quotacheck on administratively disabled OSTs
388	MERGED	master	Zhenyu Xu	1	189	19	LU-182 Add ldiskfs 64bit-name-hash patch.
389	MERGED	master	Zhenyu Xu	2	3	0	LU-172 Fix sanity check_seq_oid() for test_27z.
390	MERGED	master	zhen liang	2	178	32	LU-8 dynamically grow/shrink socklnd connd threads
391	MERGED	master	Mikhail Pershin	3	60	19	LU-178 prevent replays after recovery on server
392	ABANDONED	master	Jinshan Xiong	1	413	144	LU-118 clear_inode: BUG_ON(inode->i_data.nrpages)
393	MERGED	master	Zhenyu Xu	2	56	34	LU-189 RHEL6 MMP patch misses fix from bug 22117
394	MERGED	master	Vitaly Fertman	6	447	452	LU-73 RHEL6 support.
395	MERGED	master	zhen liang	1	1	1	LU-190 opencreate without mode can crash llite
396	MERGED	master	zhen liang	1	3	3	LU-191 mdd_close always set atime even it's same
398	ABANDONED	master	Sarah Liu	1	17	0	LU-184 Debug patch for LU-184
399	MERGED	master	Johann Lombardi	2	12	0	LU-130 disable page migration
400	MERGED	master	Brian J. Murrell	5	4446	0	LU-73 add a kernel config for rhel6/i686
401	MERGED	master	Brian J. Murrell	6	14	7	LU-175 don't allocate kernbuf on the stack
402	MERGED	b1_8	Brian J. Murrell	2	541	281	LU-177 jenkins build enhancements
403	ABANDONED	master	Jinshan Xiong	2	22	9	LBUG: (cl_page.c:1362:cl_page_completion()) ...
404	MERGED	master	Jinshan Xiong	5	34	30	LU-185 LBUG: (cl_page.c:1362:cl_page_completion()) ...
405	MERGED	master	Jian Yu	1	10	5	LU-183 replace osd with osd* in proc paths
406	MERGED	master	Yang Sheng	3	8	2	LU-188 Reduce startup messages.
407	MERGED	master	Yang Sheng	7	48	14	LU-196 set debug_mb size for every node
408	MERGED	master	Yang Sheng	2	2	1	LU-197 Remove files after fsx in sanity-benchmark.sh to drop locks.
409	MERGED	master	Yang Sheng	2	3	0	LU-198 Exit with error if NFSCLIENT is set, but no nfs export found
410	MERGED	b1_8	Fan Yong	3	152	38	LU-200 1.8.6 client supports 64-bit dir name hash under interoperability mode
411	ABANDONED	master	Hongchao Zhang	1	35	17	LUG194 adjust debug memory according to CPUs
412	ABANDONED	master	Hongchao Zhang	1	4	1	LUG201 unregister bulk after unregistering reply
413	MERGED	master	Hongchao Zhang	1	4	1	LU-201 unregister bulk after unregistering reply
414	MERGED	master	Chris Gearing	8	20	12	LU-164 test: Update testframework to restart sessions at next suite
415	ABANDONED	master	Brian J. Murrell	2	6	1	LU-53 run autogen if a Makefile.am is patched
417	MERGED	master	Johann Lombardi	1	5	1941	LU-140 Remove leftovers of iopen
418	ABANDONED	master	Zhenyu Xu	3	94	89	LU-205 Fix ext3 based ldiskfs build for rhel5.
420	MERGED	master	Zhenyu Xu	1	3	3	LU-206 Memory corruption due to MMP (1.8.5)
421	MERGED	b1_8	Zhenyu Xu	3	1164	360	LU-123 Port yaml and auster to b1_8
422	ABANDONED	master	Mikhail Pershin	2	45	56	LU-208 fix swab check in _debug_req() in 1.8 way
423	ABANDONED	master	Hongchao Zhang	1	126	3	LU-207 adding stats for some opertions in MDT
424	ABANDONED	b1_8	Niu Yawei	2	23	6	LU-25 Remove blocking network request from ldlm shrinker
425	MERGED	master	Brian J. Murrell	1	6	66	LU-210 backout debian packaging with patches
426	MERGED	master	Niu Yawei	1	20	8	LU-184 Keep orphan on failover umount
427	MERGED	master	Hongchao Zhang	7	123	0	LU-207 adding stats for some operations in MDT
428	ABANDONED	master	Jian Yu	1	4	2	LU-203 fix zconf_mount() and zconf_mount_clients() to parse mount options correctly
429	MERGED	master	Zhenyu Xu	1	56	53	LU-216 Add WALK_SPACE_HAS_DATA_SEM check.
430	MERGED	master	Jian Yu	1	2	2	LU-203 pass client mount options to zconf_mount_clients() correctly
431	MERGED	master	Hongchao Zhang	2	12	1	LU-212 reject connection with bad ocd_brw_size
432	MERGED	master	Fan Yong	9	322	376	LU-163 MDS returns 32/64-bit dir name hash according to client type
433	MERGED	b1_8	Zhenyu Xu	1	4	4	LU-206 Memory corruption due to MMP (1.8.5)
434	MERGED	master	Niu Yawei	3	12	8	LU-202 fix the test_23 of sanity-quota.sh
435	MERGED	master	Hongchao Zhang	1	2	2	LU-213 using direct io for quota test to avoid cache problem
436	ABANDONED	master	Chris Gearing	3	160	106	LU-214 lfsck and metadata_update did not contain calls for yaml logging
437	MERGED	b1_8	wangdi	7	58	48	LU-15 slow IO with read-intense application
438	ABANDONED	master	wangdi	3	21	9	LU-15 slow IO with read-intense application
439	MERGED	b1_8	Zhenyu Xu	2	6	6	LU-179 Should let PF_MEMALLOC cover ptlrpc_register_bulk()
441	MERGED	b1_8	Yang Sheng	1	321	0	LU-15 Strange slow IO messages and bad performance
442	MERGED	master	Yang Sheng	3	321	0	LU-15 Strange slow IO messages and bad performance
443	ABANDONED	b1_8	zhen liang	2	127	23	LU-215 Bind ost/mdt to specific nids
444	ABANDONED	master	James Simmons	1	379	289	LU-224 Move fail_loc handling from lustre to libcfs
445	MERGED	b1_8	wangdi	1	2	1	LU-15 slow IO with read intense application
446	MERGED	master	Ned Bass	2	2	2	LU-225 --with-ldiskfs-inkernel checks wrong file
447	MERGED	b1_8	Zhenyu Xu	2	19	34	LU-216 Restore WALK_SPACE_HAS_DATA_SEM check.
448	ABANDONED	master	Jinshan Xiong	1	413	144	LU-118 clear_inode: BUG_ON(inode->i_data.nrpages)
450	MERGED	master	James Simmons	4	406	326	LU-224 Move fail_loc handling from lustre to libcfs
452	MERGED	master	Mikhail Pershin	2	42	3	LU-128 Avoid assertion on wire data in last_rcvd update
453	ABANDONED	master	Ned Bass	10	38	0	LU-723 External lustre-ldiskfs package integration
454	MERGED	b1_8	Niu Yawei	3	40	22	LU-202 fix the test_23 of sanity-quota.sh
455	MERGED	b1_8	Yang Sheng	11	480	460	LU-228 kernel update to rhel5.6.
456	ABANDONED	master	Mikhail Pershin	1	42	3	LU-128 Avoid assertion on wire data in last_rcvd update
457	MERGED	b1_8	Yang Sheng	1	4	1	LU-234 OOM killer causes node hang.
458	ABANDONED	master	Jinshan Xiong	3	560	232	LU-118 clear_inode: BUG_ON(inode->i_data.nrpages)
459	MERGED	master	Oleg Drokin	3	354	206	LU-104 Properly address ownership of posix and flock locks
460	ABANDONED	master	Lai Siyao	1	16	16	LU-237 sgpdd-survey.sh: FAIL: test_1 /test_2 FAILED with 1!
461	MERGED	b1_8	Jian Yu	1	2	2	LU-203 pass client mount options to zconf_mount_clients() correctly
462	MERGED	master	Jinshan Xiong	5	34	27	LU-77 cl_page.c::cl_page_own0() assertion in echoclient
463	ABANDONED	master	Lai Siyao	2	29	1	LU-238 add procfs tunable to enable/disable lockless I/O
464	MERGED	b1_8	Jian Yu	2	3	4	LU-230 fix yml_entities() to create MDS entity
465	MERGED	master	Lai Siyao	2	3	0	LU-239 Lustre Header (include/lprocfs_status.h) is not ISO C99 complaint
466	MERGED	master	Zhenyu Xu	3	4	1	LU-240 test_171() races with background multiop
467	MERGED	b1_8	Jian Yu	2	23	31	LU-232 do not use bash variable to pass test setup state between sub-tests
469	MERGED	master	James Simmons	1	4	4	LU-244 Cray portals compile fixes for Lustre 2.X
470	MERGED	master	Yang Sheng	2	28	8	LU-234 OOM killer causes node hang.
471	MERGED	master	Zhenyu Xu	2	10	2	LU-245 too many default ACLs break directory access on new directories
473	MERGED	b1_8	Jian Yu	1	17	6	LU-235 fix sanity test 36g to work with remote OSS
474	ABANDONED	master	Johann Lombardi	3	27	0	LU-118 Workaround for race causing assertion failure in clear_inode()
475	MERGED	b1_8	Johann Lombardi	1	27	0	LU-118 Workaround for race causing assertion failure in clear_inode()
476	MERGED	master	Zhenyu Xu	4	33	23	LU-246 Add a barrier for recovery completion for conf-sanity
477	MERGED	master	James Simmons	1	21	6	LU-249 Allow the user to set the upper limit to the thread count on the MDS
478	MERGED	master	Ned Bass	3	37	32	LU-251 Fix gcc configure warnings
479	ABANDONED	master	Ned Bass	1	21	2	LU-252 2.6.37 removes bp arg from dump_trace()
480	MERGED	master	Andreas Dilger	8	152	124	LU-255: enable ext4 features by default
481	ABANDONED	master	Prakash Surya	1	1	2	LU-160 Error on "small" OST size in test_155_load()
482	MERGED	master	Brian J. Murrell	9	29	5	LU-301 bump kernel version for sles11
483	ABANDONED	b1_8	Chris Horn	2	1034	985	LU-258 Cleanup and reorganize obdfilter-survey
484	MERGED	master	Zhenyu Xu	1	1	1	LU-259 Wrong option in ext4-force_over_16tb-rhel6.patch
485	MERGED	master	Zhenyu Xu	1	19	0	LU-260 Add open-unlinked dir regression test case.
486	ABANDONED	master	Chris Gearing	5	1	1	LU-261 Renamed auster.sh to be auster making it like b2_1 and following the convention that human commands don't have extensions and modified Makefile.am which references auster[.sh]
487	MERGED	b1_8	Jian Yu	1	400	211	LU-262 port the changes of llverdev.c and llverfs.c from master to b1_8
488	MERGED	master	Jian Yu	1	17	6	LU-235 fix sanity test 36g to work with remote OSS
489	MERGED	master	Brian J. Murrell	6	3	3	LU-257 s/%krequires/%kversion/g
491	MERGED	master	Zhenyu Xu	8	86	56	LU-216 Protect extent tree during fsfilt_ldiskfs_ext_walk_space()
492	MERGED	b1_8	Zhenyu Xu	1	19	9	LU-265 Improve autogen
493	MERGED	master	Zhenyu Xu	5	0	18	LU-273 Remove export-show_task patch
494	MERGED	master	Fan Yong	2	1	1	LU-271 Skip permission check for NFS open after create
495	ABANDONED	master	Jinshan Xiong	1	30	21	LU-247 port bug 18801 to 2.x release
496	MERGED	master	Lai Siyao	1	249	128	LU-243 async lov_sync() operation
497	MERGED	master	Lai Siyao	3	71	49	LU-272 LBUG in replay-single test_74
498	ABANDONED	master	Brian J. Murrell	1	24	3	bump kernel version for sles11
499	ABANDONED	master	Chris Gearing	2	50	18	LU-263 Fixup yaml.sh and test-framework.sh so that it only ever uses the first part of the host name for log files. This means stripping of everything off the name after and including the first .
500	MERGED	master	Prakash Surya	8	28	29	LU-64 Alphabetized lfs's sub-commands' options
501	MERGED	master	Prakash Surya	1	13	15	LU-283 Clean up trailing whitespace in sanity.sh
502	MERGED	master	Brian J. Murrell	2	4	1	LU-284 strip .$arch off of kern vers for requires
504	MERGED	master	Zhenyu Xu	3	44	6	LU-275 I/O errors when lustre uses multipath devices
505	ABANDONED	b1_8	Jian Yu	21	64	63	LU-136 build Lustre b1_8 branch with "--enable-ext4" option
506	MERGED	b1_8	Yang Sheng	4	9	1	LU-286 racer: general protection fault.
507	MERGED	b1_8	Niu Yawei	2	7	0	LU-274 Update LVB from disk when glimpse callback return error
508	ABANDONED	master	James Simmons	5	61	46	LU-1199 build : Pass in the configure arguments to rpmbuild.
509	MERGED	master	Christopher J. Morrone	3	22	4	LU-278 Improve regex for output of git describe
510	MERGED	master	Christopher J. Morrone	3	1	1	LU-278 build: Only warn for tag/version mismatch
511	ABANDONED	master	Christopher J. Morrone	1	23	2	LU-278 Improve lustre.spec support for RHEL6
512	ABANDONED	b1_8	Niu Yawei	3	19	4	LU-287 handle the glimpse callback race with lock cancel
513	MERGED	master	Li Wei	1	1	1	LU-294 Fix typo in tests/test-groups/regression
514	MERGED	master	Yang Sheng	4	502	479	LU-228 kernel update [RHEL5 U6 2.6.18-238.9.1.el5]
515	MERGED	b1_8	Chris Horn	2	2	2	LU-295 Remove 'lustre_rsync-test' from DEFAULT_SUITES
516	MERGED	b1_8	Chris Horn	3	6	3	LU-296 Add missing code from auster/yaml port to b1_8
517	MERGED	master	Brian J. Murrell	1	5	2	LU-278 only use the v* tag and limit the match
518	ABANDONED	master	Jinshan Xiong	35	2914	626	ORNL-8: Imperative Recovery
519	MERGED	master	Christopher J. Morrone	1	10	7	LU-298 Improve check for dpkg system.
520	MERGED	b1_8	Zhenyu Xu	1	4	1	LU-240 test_171() races with background multiop
521	MERGED	master	Niu Yawei	3	3	0	LU-285 Minor fix for sanity test_180a
522	MERGED	master	Christopher J. Morrone	1	1	1	LU-299 Initialize struct shrinker variable in test
523	MERGED	master	wangdi	3	1	2	LU-15 shrink the cache to alleviate OST memory pressure
524	MERGED	master	Zhenyu Xu	2	13	6	LU-279 Test failure on test suite sanity, subtest test_17k
525	MERGED	master	Zhenyu Xu	1	10	5	LU-288 adjust PATH order in test framework
526	MERGED	b1_8	Lai Siyao	1	3	1	LU-231 sanity_test_170: FAIL: expected 248 bad lines, but got 249
527	MERGED	master	Brian J. Murrell	1	6	1	LU-303 fix ofed download for bugfix releases
528	MERGED	master	Prakash Surya	2	59	23	LU-160 Split small/big file parts of test_155_load
529	MERGED	master	Christopher J. Morrone	1	0	1130	LU-304 Remove Cray-specific LICENSE files.
530	MERGED	master	Jinshan Xiong	2	41	37	LU-300: Oops in cl_page_put of page fault path
532	ABANDONED	b1_8	Fan Yong	2	7	0	LU-65 no error when close if application has known write failure
533	MERGED	master	Brian J. Murrell	4	17	9	LU-363 don't cache BUILD for reuse
534	MERGED	master	Prakash Surya	1	11	11	LU-160 Reduce OST size requirement for test 155
535	ABANDONED	master	Prakash Surya	1	14	6	LU-64 Fix test conditions in stripe attr helpers
536	MERGED	master	Zhenyu Xu	2	2	1	LU-309 Fix sanity test_27z to work if lustre is mounted from loop device
537	MERGED	master	Lai Siyao	1	3	1	LU-231 sanity test_170: FAIL: expected 248 bad lines, but got 249
538	MERGED	b1_8	Chris Gearing	7	21	13	LU-164 Update testframework to restart sessions at next suite
539	MERGED	b1_8	Yang Sheng	1	5	7	LU-228 kernel update to rhel5 2.6.18-238.9.1
540	ABANDONED	b1_8	Chris Gearing	7	42	17	LU-263 test: Only use the short hostname for logfiles.
541	MERGED	b1_8	Chris Gearing	3	2	2	LU-261 Renamed auster.sh to be auster
542	ABANDONED	b1_8	Chris Gearing	1	41	18	LU-263 Fixup yaml.sh and test-framework.sh so that it only ever uses the first part of the host name for log files. This means stripping of everything off the name after and including the first .
544	MERGED	master	Johann Lombardi	1	5	2	LU-314 don't print warning when setting debug mask to 0
545	ABANDONED	b1_8	Jian Yu	2	60	0	LU-136 use vmalloc() to allocate memory for sbi->s_group_desc
547	MERGED	master	Prakash Surya	15	85	1	LU-279 tests: Ensure lgetxattr is consistent
548	MERGED	master	wangdi	2	4	4	LU-323 Not append index at the end of mdd_obd name
549	MERGED	master	Hongchao Zhang	1	2	2	LU-248 increase LOV reseed to mitigate OST allocation inconsitence
550	MERGED	master	Hongchao Zhang	1	1	1	LU-276 increase file count to mitigate affect of random condition
551	MERGED	master	Hongchao Zhang	1	1	0	LU-326 make sure df send statfs request
552	MERGED	master	Andreas Dilger	4	37	51	LU-313 re-enable lfsck test to run by default
554	MERGED	master	Mikhail Pershin	2	8	6	LU-329 fix missing ost_lock_put() calls
555	MERGED	master	Oleg Drokin	1	8	3	LU-316 Fix changelog deadlock when changelog client is killed
556	MERGED	master	Hongchao Zhang	4	12	5	LU-328 unlock fo_llog_list_lock before allocating memory
557	MERGED	master	Fan Yong	4	161	52	LU-307 Send parent FID from client to MDS on NFS open for striping info
558	MERGED	master	Prakash Surya	2	1	1	LU-336 Tighten matching criteria in module_loaded
561	MERGED	b1_8	Niu Yawei	1	1055	931	LU-264 ext4 MMP update
562	MERGED	master	Hongchao Zhang	2	89	1	LU-342 add test for lfs to check missing OST
564	ABANDONED	master	Yang Sheng	3	3	1	LU-343 Kernel update [RHEL6 2.6.32-71.29.1.el6]
