key	status	resolution	priority	type	assignee	summary
LU-1	Closed	Fixed	Major	Bug	Robert Read	New Bug, bugzilla link test
LU-10	Resolved	Fixed	Major	Bug	Lai Siyao	Client stuck in ptlrpc_invalidate_import() after eviction
LU-100	Resolved	Fixed	Major	Bug	John Spray	Changes made for LU-86 mean that results are not uploaded to Maloo
LU-10000	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [SLES12 SP2 4.4.74-92.38]
LU-10001	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [SLES12 SP3 4.4.82-6.6]
LU-10002	Resolved	Fixed	Major	Bug	Sonia Sharma	client_bulk_callback() event type 1, status -5, desc ffff881fe5a8f800
LU-10003	Resolved	Fixed	Major	Bug	James A Simmons	lnetctl error "cannot add network: invalid argument"
LU-10005	Resolved	Fixed	Major	Bug	Lai Siyao	File creation to slave MDT is much slower than primary MDT on DNE1 configuration
LU-10006	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_78: No space left on device
LU-10007	Resolved	Fixed	Major	Improvement	Nathaniel Clark	Update health resource agents
LU-10008	Open	Unresolved	Minor	Bug	WC Triage	ost-pools test_12: test failed to respond and timed out
LU-10009	Open	Unresolved	Minor	Bug	WC Triage	sanity-benchmark test_iozone: test failed to respond and timed out
LU-1001	Resolved	Duplicate	Blocker	Bug	Andreas Dilger	Test failure on test suite ost-pools, subtest test_18
LU-10010	Resolved	Duplicate	Critical	Bug	WC Triage	Create striped directory fail in 2.10.1-RC1
LU-10011	Resolved	Fixed	Minor	Bug	Wang Shilong	suppress annoying messages for lfs quota
LU-10012	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_50c: test_50c returned 1
LU-10013	Open	Unresolved	Minor	Bug	Patrick Farrell	Atomic usage cleanups
LU-10015	Resolved	Fixed	Major	Bug	WC Triage	ASSERTION( cmid->device != ((void *)0) ) failed
LU-10016	Closed	Cannot Reproduce	Critical	Bug	Nathaniel Clark	Downgrading Lustre 2.10.1 ZFS to 2.9.0 ZFS gives a pool cannot be found error on import
LU-10017	Resolved	Cannot Reproduce	Minor	Bug	Yang Sheng	sanity test_42e: failed: client:83091456 server: 87285760
LU-10018	Resolved	Fixed	Minor	Improvement	Alex Zhuravlev	MDT as a statfs proxy
LU-10019	Closed	Cannot Reproduce	Minor	Bug	Jian Yu	Interop - sanity test_77c: no checksum dump file on OSS
LU-1002	Closed	Cannot Reproduce	Minor	Bug	Niu Yawei	Test failure on test suite sanity-quota
LU-10020	Resolved	Not a Bug	Critical	Bug	Amir Shehata	mlx5_warn:mlx5_1:dump_cqe:257:(pid 4031): dump error cqe
LU-10021	Closed	Won't Fix	Blocker	Bug	WC Triage	posix test_1: Unknown option: nospc-dev
LU-10022	Resolved	Duplicate	Blocker	Bug	WC Triage	racer test 1: (lu_object.h:862:lu_object_attr()) ASSERTION( ((o)->lo_header->loh_attr & LOHA_EXISTS) != 0 ) failed
LU-10023	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [SLES12 SP3 4.4.82-6.9]
LU-10024	Resolved	Fixed	Major	Bug	James Nunez	sanity test_120f: 6 cancel RPC occured
LU-10025	Open	Unresolved	Minor	Bug	WC Triage	sanity test_155e: Permission Denied
LU-10026	Open	Unresolved	Minor	New Feature	Artem Blagodarenko	Client-side data compression
LU-10027	Open	Unresolved	Minor	Bug	Bruno Faccini	Unable to finish mount  on MDS while Rolling downgrade
LU-10028	Resolved	Fixed	Minor	New Feature	Qian Yingjin	Export the information about Lustre special mount flags and options
LU-10029	Resolved	Fixed	Minor	Bug	Wang Shilong	project inherit attribute should be removeable
LU-1003	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	Test failure on test suite parallel-scale
LU-10030	Resolved	Fixed	Minor	New Feature	Wang Shilong	add native lfs tools support for project quota
LU-10031	Open	Unresolved	Minor	Bug	WC Triage	Interop: sanity-hsm test_26a: request on 0x2000088d5:0x2a:0x0 is not SUCCEED on mds1
LU-10032	Resolved	Cannot Reproduce	Minor	Bug	Sonia Sharma	MOFED4.1 sanity test_399b: FAIL: fake write is slower
LU-10033	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	MOFED4.1 sanity test_42d: failed: client:151191552 server: 75595776
LU-10034	Closed	Won't Fix	Minor	Improvement	Wang Shilong	LDISKFS Quota scalability improvement
LU-10035	Open	Unresolved	Major	Bug	Amir Shehata	Many threads hanging on OST, lustre-log dumps
LU-10036	Resolved	Duplicate	Major	Bug	nasf	lfsck stuck in init on multiple MDS
LU-10037	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [RHEL6.9 2.6.32-696.10.3.el6]
LU-10038	Resolved	Fixed	Minor	Bug	WC Triage	sanity test 133g fails with “ '$'mds1 find /proc/fs/lustre/n/proc/sys/lnet/n/sys/fs/lustre/n/sys/kernel/debug/lnet/n/sys/kernel/debug/lustre/ failed''
LU-10039	Open	Unresolved	Minor	Bug	Zhenyu Xu	ioctl error after downgrade
LU-1004	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	MDS node restart when running parallel-scale sub_test mdtestssf
LU-10040	Resolved	Fixed	Major	Bug	Emoly Liu	nodemap and quota issues (ineffective GID mapping)
LU-10041	Resolved	Fixed	Major	Improvement	Alex Zhuravlev	osd-zfs to choose dnode size
LU-10042	Resolved	Fixed	Minor	Improvement	WC Triage	sanity/51b to cleanup properly
LU-10043	Resolved	Duplicate	Minor	Bug	WC Triage	sanity-hsm test_222c: Changelog flag is not 0x82
LU-10045	Resolved	Fixed	Critical	Bug	nasf	sanity-lfsck no sub tests failed
LU-10046	Resolved	Fixed	Trivial	Improvement	Andreas Dilger	use CLASSERT() for compile-time checks
LU-10047	Resolved	Fixed	Minor	Bug	Bob Glossman	sanity test_102d: mkdir -i 2 -c2 /mnt/lustre/d102d.sanity failed
LU-10048	Resolved	Fixed	Major	Bug	Alex Zhuravlev	osd-ldiskfs to truncate outside of main transaction
LU-10049	Closed	Fixed	Minor	Bug	Alex Zhuravlev	LBUG osp_sync.c:1221:osp_sync_thread()
LU-1005	Resolved	Fixed	Minor	Improvement	Jian Yu	fix spurious libcfs_debug_str2mask() warning
LU-10050	Resolved	Fixed	Minor	Bug	Jinshan Xiong	Problem in lod_declare_update_plain()
LU-10051	Resolved	Fixed	Minor	Task	Nathaniel Clark	Update ZFS Version to 0.7.2
LU-10052	Resolved	Fixed	Major	Bug	Hongchao Zhang	replay-single test_20b fails with 'after 4096 > before 3072'
LU-10053	Open	Unresolved	Minor	Bug	WC Triage	sanityn test_35: Eviction happened on import lustre-MDT0000
LU-10054	Open	Unresolved	Minor	Bug	WC Triage	lustre-rsync-test test_2a: Failure in replication; differences found
LU-10055	Resolved	Fixed	Major	Bug	Mikhail Pershin	mdt_fill_lvbo() message spew on MDS console
LU-10056	Open	Unresolved	Minor	Bug	WC Triage	sanity test_60a invokes oom-killer in subtest 7f and times out
LU-10057	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	conf-sanity test_32c: No space left on device
LU-10058	Open	Unresolved	Minor	Bug	WC Triage	obdfilter-survey test_1c: short description of the failure
LU-10059	Resolved	Fixed	Minor	Bug	WC Triage	sanityn test_32a: wrong file size
LU-1006	Resolved	Fixed	Blocker	Bug	Niu Yawei	Test failure on test suite conf-sanity
LU-10061	Open	Unresolved	Minor	Bug	WC Triage	sanity test_154d: FAIL: FID not found in open files list
LU-10062	Open	Unresolved	Minor	Bug	WC Triage	parallel-scale-nfsv3 test_compilebench: compilebench failed: 1
LU-10063	Open	Unresolved	Minor	Bug	WC Triage	recovery-double-scale test_pairwise_fail: test_pairwise_fail returned 3
LU-10064	Resolved	Fixed	Blocker	Story	Minh Diep - TLC	Publish ZFS userspace rpms on lustre download site
LU-10065	Resolved	Duplicate	Minor	Bug	WC Triage	ost-pools test_5a: test failed to respond and timed out
LU-10066	Open	Unresolved	Minor	Bug	Alex Zhuravlev	A potential bug on OSP setattr handling
LU-10067	Resolved	Fixed	Major	Bug	Hongchao Zhang	LBUG mdt_handler.c:222:mdt_lock_pdo_mode()
LU-10068	Resolved	Duplicate	Major	Bug	Amir Shehata	OST fails to mount:LustreError: 14558:0:(pack_generic.c:588:__lustre_unpack_msg()) message length 0 too small for magic/version check
LU-10070	Resolved	Fixed	Minor	New Feature	Vitaly Fertman	PFL self-extending file layout
LU-10071	Open	Unresolved	Minor	Bug	WC Triage	large-scale test_3a: Timeout occurred after 441 mins
LU-10072	Resolved	Not a Bug	Minor	Question/Request	WC Triage	Error on Mount OST
LU-10073	Resolved	Fixed	Critical	Bug	James A Simmons	lnet-selftest test_smoke: lst Error found
LU-10074	Open	Unresolved	Minor	Bug	WC Triage	insanity test_9: test_9 failed with 1
LU-10075	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	sanity test_123a: kernel panic on client
LU-10076	Open	Unresolved	Minor	Bug	WC Triage	sanity-scrub test_4b: (17) fail to ls
LU-10077	Open	Unresolved	Minor	Bug	WC Triage	parallel-scale-nfsv4 test_racer_on_nfs: test failed to respond and timed out
LU-10078	Open	Unresolved	Minor	Bug	WC Triage	parallel-scale test_compilebench: compilebench failed: 1
LU-10079	Open	Unresolved	Minor	Bug	WC Triage	parallel-scale test_connectathon: connectathon failed: 1
LU-1008	Resolved	Won't Fix	Minor	Bug	WC Triage	Improper error handling in trans_stop if some failure occurred during the transaction
LU-10080	Open	Unresolved	Minor	Bug	WC Triage	ost-pools test_6: /usr/bin/lfs setstripe -p /mnt/lustre/d6.ost-pools/file_tst failed
LU-10081	Resolved	Fixed	Minor	Bug	WC Triage	ost-pools test_18: test failed to respond and timed out
LU-10082	Resolved	Duplicate	Minor	Bug	Dmitry Eremin	lustre-rsync-test test_2a: test failed to respond and timed out
LU-10083	Closed	Cannot Reproduce	Minor	Bug	WC Triage	racer test_1: test failed to respond and timed out
LU-10084	Open	Unresolved	Minor	Bug	WC Triage	replay-ost-single test_3: test failed to respond and timed out
LU-10085	Open	Unresolved	Minor	Bug	Sonia Sharma	Memory leak from memory cache lnet_small_mds_cachep
LU-10086	Resolved	Fixed	Major	Bug	Dmitry Eremin	LNET_MINOR conflicts with USERIO_MINOR
LU-10087	Open	Unresolved	Minor	Bug	WC Triage	sanity-lfsck test_1a: (7) no FID-in-dirent.
LU-10088	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [RHEL6.9 2.6.32-696.13.2.el6]
LU-10089	Resolved	Fixed	Critical	Bug	Amir Shehata	kiblnd_fmr_pool_map() Failed to map mr 10/11 elements
LU-1009	Resolved	Fixed	Minor	Improvement	Cliff White	Is there a way to get linux to re-read the lustre specific module parameters without unloading the module?
LU-10090	Resolved	Not a Bug	Major	Bug	Sonia Sharma	unable to mount client through router
LU-10091	Closed	Cannot Reproduce	Major	Bug	Amir Shehata	o2iblnd fast reg crash on shutdown
LU-10092	Resolved	Fixed	Minor	New Feature	Li Xi	PCC: Lustre Persistent Client Cache
LU-10093	Resolved	Duplicate	Major	Bug	WC Triage	Nodemap fileset configuration lost
LU-10094	Resolved	Fixed	Critical	Bug	Lai Siyao	sanity test_17f: 'ls' fails with "ls: reading directory *: Input/output error"
LU-10095	Closed	Duplicate	Minor	Bug	WC Triage	sanity test_18: Failed to ls /mnt/lustre: 2
LU-10096	Closed	Duplicate	Minor	Bug	WC Triage	sanity test_22: ls -lR /mnt/lustre/d22.sanity/etc failed
LU-10097	Closed	Duplicate	Minor	Bug	WC Triage	sanity test_24u: error() without useful message, please fix
LU-10098	Resolved	Fixed	Critical	Bug	Nathaniel Clark	Lustre resource agent can mis-identify resource mounts
LU-10099	Closed	Duplicate	Minor	Bug	WC Triage	sanity test_24A: Expected 5000 files, got 1512 (1512 unique 1514 .&..)
LU-101	Resolved	Fixed	Minor	Bug	Brian Murrell	building Lustre against OFED when the kernel has built-in IB causes symbol mismatch
LU-1010	Resolved	Duplicate	Minor	Bug	WC Triage	lfsck.sh test: e2fsck_pass1:1402: increase inode 20 badness 0 to 1
LU-10100	Resolved	Fixed	Critical	Bug	Jian Yu	sanity test_27a: setstripe failed with "error on ioctl 0x8008669a for '*' (3): Invalid argument"
LU-10101	Resolved	Fixed	Minor	Bug	James Nunez	sanity-quota test 7e input to quota_error() is incorrect
LU-10102	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_105: test failed to respond and timed out
LU-10103	Open	Unresolved	Major	Bug	Amir Shehata	LBUG: lib-move.c:2121:lnet_send()) ASSERTION( msg->msg_txpeer == ((void *)0) ) failed
LU-10104	Resolved	Duplicate	Minor	Bug	Patrick Farrell	sanity test_255c: Ladvise test 15, bad lock count, returned  5000, actual 4538
LU-10105	Resolved	Won't Do	Blocker	Bug	Brad Hoagland	kernel:Kernel panic - not syncing: LBUG
LU-10106	Resolved	Duplicate	Minor	Bug	WC Triage	runtests test_1: Space not all freed
LU-10107	Closed	Fixed	Minor	Bug	Jinshan Xiong	Truncate doesn't work at component boundary
LU-10108	Closed	Duplicate	Minor	Bug	Alex Zhuravlev	sanity/102d fails due to already-created directory
LU-10109	Closed	Duplicate	Minor	Bug	WC Triage	sanityn test_55c: Timeout occurred after 183 mins
LU-10110	Closed	Fixed	Minor	Bug	Bob Glossman	failed to remove <fid> from accounting ZAP for grp <gid>
LU-10112	Resolved	Duplicate	Minor	Improvement	WC Triage	FLR: Support DoM component
LU-10113	Open	Unresolved	Minor	Bug	WC Triage	recovery-small test_111: MDS panic after log error
LU-10114	Resolved	Fixed	Minor	Improvement	Teddy	Feasibility of increasing upper limit of maximum HSM backends registered with MDT
LU-10115	Resolved	Fixed	Critical	Task	Bob Glossman	Backport appropriate patches to 2.8 FE for RHEL 7.4
LU-10118	Resolved	Duplicate	Minor	Bug	WC Triage	exec start error for lustre-2.10.1_13_g2ee62fb
LU-10119	Resolved	Fixed	Minor	Bug	WC Triage	systemd Failed at step EXEC spawning /usr/sbin/lustre_routes_config: Exec format error
LU-1012	Resolved	Cannot Reproduce	Major	Bug	WC Triage	replay-vbr: test_1b failure.
LU-10120	Resolved	Fixed	Minor	Bug	nasf	ZFS snapshots break when fsname contains a dash
LU-10121	Open	Unresolved	Minor	Bug	WC Triage	sanity test_102a: Timeout occurred after 106 mins
LU-10122	Resolved	Won't Fix	Major	Bug	WC Triage	Pacemaker script for Lustre and ldiskfs
LU-10123	Resolved	Fixed	Major	Bug	Bruno Faccini	Repeated timeouts during mount()- MDS and client.
LU-10124	Resolved	Fixed	Minor	Bug	Sonia Sharma	lnetctl: lnetctl import --add not importing peers correctly
LU-10125	Open	Unresolved	Minor	Bug	WC Triage	sanity-scrub test_1b: timeout
LU-10126	Open	Unresolved	Minor	Bug	WC Triage	sanity-hsm test_407: request on 0x200000405:0x23d:0x0 is not SUCCEED on mds1
LU-10127	Resolved	Cannot Reproduce	Major	Bug	WC Triage	DNE MDT goes back in time after failover, recovery
LU-10128	Open	Unresolved	Minor	Bug	WC Triage	sanity-hsm, test_60: Timed out waiting for progress update!
LU-10129	Resolved	Fixed	Critical	Bug	Amir Shehata	map-on-demand set to 32 doesn't work on OPA
LU-1013	Resolved	Fixed	Blocker	Bug	nasf	recovery-mds lu_object.c:116:lu_object_put()) ASSERTION(cfs_list_empty(&top->loh_lru)) failed
LU-10130	Resolved	Duplicate	Major	Bug	Sebastien Buisson	mkdir returns -95 EOPNOTSUPP with 2.10.1 on sles 12 sp3 with CONFIG_SECURITY disabled
LU-10131	Resolved	Fixed	Minor	Bug	Patrick Farrell	Update inode attributes on unlink
LU-10132	Resolved	Fixed	Minor	Bug	John Hammond	IO execvp errors 2.10 client/EE3.1.1 server
LU-10133	Resolved	Fixed	Major	Bug	Amir Shehata	Multi-page allocation failures in mlx4/mlx5
LU-10134	Resolved	Fixed	Critical	Bug	nasf	LBUG lfsck_namespace_double_scan()) ASSERTION( list_empty(&lad->lad_req_list) ) failed:
LU-10135	Closed	Fixed	Minor	Bug	WC Triage	nodemap_del_idmap() calls nodemap_idx_idmap_del() while holding rwlock
LU-10136	Resolved	Fixed	Minor	Bug	Patrick Farrell	sanity test_255c: Ladvise test11 failed, 255
LU-10137	Open	Unresolved	Major	Bug	WC Triage	sanity-sec test_23b: setfacl /mnt/lustre/d23b.sanity-sec on trevis-4vm10 failed
LU-10138	Open	Unresolved	Minor	Bug	WC Triage	recovery-mds-scale test_failover_ost: test_failover_ost returned 1
LU-10139	Open	Unresolved	Minor	Bug	WC Triage	recovery-small, test_108: reconnect failed
LU-1014	Resolved	Fixed	Blocker	Bug	Lai Siyao	MGS with sys.timeout is ignored and if sys.timeout is changed its not synced across the file system.
LU-10140	Open	Unresolved	Minor	Bug	WC Triage	sanity-lfsck test_18c: MDS3 is not the expected 'completed'
LU-10141	Resolved	Fixed	Minor	Improvement	Henri Doreau	Integer overflow in llapi_changelog_start
LU-10142	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [RHEL7.4 3.10.0-693.5.2.el7]
LU-10143	Resolved	Duplicate	Minor	Bug	Alex Zhuravlev	LBUG dt_object.h:2166:dt_declare_record_write
LU-10144	Open	Unresolved	Minor	Bug	WC Triage	sanityn test_77c: OST hang
LU-10145	Open	Unresolved	Minor	Bug	WC Triage	replay-single test_74: Timeout occurred after 151 mins, last suite running was replay-single, restarting cluster to continue tests
LU-10146	Open	Unresolved	Minor	Bug	WC Triage	recovery-mds-scale test_failover_ost: Restart of ost1 failed!
LU-10147	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_7: Timeout occurred after 439 mins, last suite running was conf-sanity, restarting cluster to continue tests
LU-10148	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota: test_33 timeout
LU-10149	Resolved	Fixed	Minor	Bug	Bruno Faccini	sanityn test_23: timeout after test_18 mmap_sanity takes thousands of seconds
LU-1015	Resolved	Fixed	Blocker	Bug	Andreas Dilger	ldiskfs corruption with large LUNs
LU-10150	Resolved	Fixed	Minor	Task	WC Triage	Update ZFS Version to 0.7.3
LU-10151	Resolved	Fixed	Minor	Bug	Sonia Sharma	lnetctl gives the worst configration warning
LU-10152	Resolved	Fixed	Minor	Improvement	James Nunez	conf-sanity test 99 needs to clean up at the end of the test
LU-10153	Resolved	Fixed	Critical	Bug	Amir Shehata	route via two different networks not supported
LU-10154	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_32b timeout
LU-10155	Resolved	Fixed	Blocker	Bug	Lai Siyao	File creation with 'lfs setstripe' is not replayable
LU-10157	Resolved	Fixed	Blocker	Bug	Alexey Lyashkov	LNET_MAX_IOV hard coded to 256
LU-10158	Open	Unresolved	Minor	Improvement	Zhenyu Xu	FLR2: improve mirror selection policy functions
LU-10159	Resolved	Fixed	Major	Bug	Amir Shehata	Lnet: Ping issues with Multi-rail routers talking to down rev clients
LU-1016	Resolved	Fixed	Major	Improvement	WC Triage	RPM build proceeds after failure
LU-10160	Open	Unresolved	Major	Bug	Oleg Drokin	LBUG ldlm_lock.c:2259:__ldlm_reprocess_all()) ASSERTION( list_empty(&rpc_list) ) failed:
LU-10161	Resolved	Fixed	Minor	Bug	Minh Diep - TLC	lbuild: Failed to determine the default route interface
LU-10162	Open	Unresolved	Minor	Bug	Emoly Liu	mount command does not appear to be using the failover MGS/second MGS
LU-10163	Resolved	Cannot Reproduce	Major	Bug	WC Triage	kernel NULL pointer dereference on heavy load
LU-10164	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [SLES12 SP3 4.4.92-6.18]
LU-10165	Resolved	Fixed	Minor	Bug	Lai Siyao	sanity test_24v: test took quite long time to finish
LU-10166	Resolved	Fixed	Minor	Bug	Henri Doreau	Changelog reader crashes when closing the changelog
LU-10168	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [SLES12 SP2 4.4.90-92.45]
LU-10169	Resolved	Fixed	Minor	New Feature	Patrick Farrell	Spillover space
LU-1017	Resolved	Fixed	Blocker	Bug	Niu Yawei	MDS oops when running racer test
LU-10170	Resolved	Duplicate	Minor	Bug	Jinshan Xiong	OSP device could miss wakeup from committed sync
LU-10171	Resolved	Fixed	Minor	Task	Ben Evans	define pct(a,b) once
LU-10173	Open	Unresolved	Minor	Improvement	WC Triage	Lustre does not allow FIEMAP on directories
LU-10174	Resolved	Fixed	Major	Bug	Nathaniel Clark	Lustre master (pre-2.11) fails to build against ZFS 0.6.5.7
LU-10175	Resolved	Fixed	Minor	Technical task	Mikhail Pershin	DoM:Full support for the LDLM lock convert
LU-10176	Open	Unresolved	Major	Epic	Mikhail Pershin	Data-on-MDT phase II
LU-10177	Resolved	Fixed	Major	Technical task	Mikhail Pershin	DoM: manual migration MDT-OST
LU-10178	Open	Unresolved	Minor	Technical task	WC Triage	DoM: Use synced last BRW instead of extra SYNC RPC for CLIO fsync
LU-10179	Closed	Done	Minor	Technical task	Mikhail Pershin	DoM: Data-on-MDT recovery cases
LU-1018	Resolved	Fixed	Blocker	Bug	Minh Diep - TLC	Test failure on test suite parallel-scale, subtest test_compilebench
LU-10180	Resolved	Fixed	Minor	Technical task	Mikhail Pershin	DoM technical debts
LU-10181	Resolved	Fixed	Major	Technical task	Mikhail Pershin	DoM performance optimization
LU-10182	Resolved	Fixed	Minor	Bug	Ben Evans	"MDT name too long" inaccurate
LU-10183	Resolved	Cannot Reproduce	Minor	Improvement	WC Triage	If node provisioning fails, Maloo should try again
LU-10184	Resolved	Duplicate	Minor	Bug	WC Triage	sanityn test_18: hung after mmap test_2
LU-10185	Resolved	Fixed	Minor	Task	Chris Horn	gnilnd code catchup
LU-10186	Resolved	Fixed	Minor	Technical task	nasf	OI compatibility between ldiskfs and ZFS
LU-10187	Resolved	Fixed	Minor	Technical task	nasf	Handle FID-in-dirent
LU-10188	Resolved	Fixed	Minor	Technical task	nasf	Block size alignment issues
LU-10189	Resolved	Fixed	Minor	Technical task	nasf	Handle PFID EA in LMA
LU-1019	Resolved	Duplicate	Minor	New Feature	nasf	general ptlrpcd pool support to process kinds of async RPC efficiently on SMP client
LU-10190	Resolved	Fixed	Minor	Technical task	nasf	Agent object for cross-MDTs reference
LU-10191	Reopened	Unresolved	Minor	New Feature	WC Triage	FLR2: Server Local Client (SLC)
LU-10192	Resolved	Fixed	Minor	Technical task	nasf	Agent entry for cross-MDTs reference
LU-10193	Resolved	Fixed	Minor	Technical task	nasf	Index object on-disk layout compatibility
LU-10194	Resolved	Duplicate	Minor	Bug	WC Triage	recovery-small test_111: kernel panic on MDS mount
LU-10195	Resolved	Duplicate	Major	Bug	WC Triage	sanity test_24v: timeout occurred after 71 mins
LU-10198	Resolved	Fixed	Critical	Bug	Mikhail Pershin	GPF llog_osd_declare_write_rec+0xb6/0x3d0
LU-10199	Resolved	Fixed	Major	Bug	Steve Guminski	sanity test_56xb: hard links individually migrated (12 != 11)
LU-102	Resolved	Fixed	Minor	Bug	Oleg Drokin	EXPORT_SYMBOL of static function breaks compile
LU-1020	Resolved	Won't Fix	Major	Bug	Hongchao Zhang	1.8.7 <-->2.1.54 racer OOPS
LU-10200	Resolved	Duplicate	Minor	Bug	Mikhail Pershin	conf-sanity test_32a: test_32a failed with 6
LU-10201	Resolved	Fixed	Minor	Bug	Oleg Drokin	conf-sanity test 20 fails in local setup
LU-10202	Resolved	Duplicate	Minor	Bug	WC Triage	replay-ost-single: short description of the failure
LU-10203	Resolved	Incomplete	Critical	Question/Request	Brian Murrell	A stonith device  'Monitor'  operation report "Time Out" in Lustre HA cluster with pacemaker
LU-10204	Resolved	Fixed	Minor	Bug	WC Triage	ladvise_willread_performance() function misses line continuation slash
LU-10205	Resolved	Fixed	Minor	Bug	WC Triage	e2fsck: buffer overflow in ext2fs_expand_extra_isize
LU-10206	Open	Unresolved	Minor	Bug	WC Triage	parallel-scale-nfsv4 no sub tests failed: setup nfs failed
LU-10207	Open	Unresolved	Minor	Bug	WC Triage	sanity-sec test_18: mgs and c0 admin_nodemap mismatch, 10 attempts
LU-10208	Closed	Not a Bug	Critical	Bug	WC Triage	subtest failed but the test suite was marked as PASS
LU-10209	Resolved	Duplicate	Critical	Bug	WC Triage	conf-sanity test 41c crashes
LU-1021	Resolved	Duplicate	Minor	Bug	Johann Lombardi	MDS dumps call traces after run find and du commands
LU-10210	Resolved	Fixed	Minor	Bug	Sonia Sharma	conf-sanity test 67 missing path to lustre_routes_conversion
LU-10211	Resolved	Fixed	Minor	Bug	WC Triage	conf-sanity test 102 should not use lustre_rmmod directly
LU-10212	Resolved	Fixed	Critical	Bug	Alexander Boyko	operation ost_read to node [*] failed: rc = -116
LU-10213	Resolved	Fixed	Major	Bug	Amir Shehata	o2iblnd: Potential discrepancy when allocating qp
LU-10214	Resolved	Fixed	Major	Bug	Sonia Sharma	Example `lnet_routes.conf` syntax for gateway range is not supported
LU-10215	Resolved	Fixed	Major	Bug	Sarah Liu	disk2_5-ldiskfs.tar.bz2 is not packaged into test rpm
LU-10216	Resolved	Fixed	Critical	Question/Request	Emoly Liu	One question about enabling NRS_TBF in Lustre
LU-10217	Resolved	Fixed	Minor	Bug	Bob Glossman	Sanity 248 fails with newer dd output
LU-10218	Resolved	Fixed	Minor	Bug	WC Triage	errors not propagated to changelog readers
LU-1022	Closed	Fixed	Minor	Improvement	Richard Henwood	lustre diagnostics to support jira
LU-10220	Resolved	Fixed	Major	Bug	Sebastien Buisson	Incorrect record length allocated in mdd_changelog_data_store_by_fid()
LU-10221	Open	Unresolved	Minor	Bug	Hongchao Zhang	recovery-mds-scale test_failover_mds: onyx-40vm1:LBUG/LASSERT detected
LU-10222	Closed	Not a Bug	Minor	Bug	Peter Jones	DNE recovery is failed or stuck
LU-10223	Resolved	Duplicate	Minor	Bug	WC Triage	OSS hang
LU-10224	Resolved	Fixed	Minor	Bug	Bruno Faccini	recovery-small test_57: timeout
LU-10225	Open	Unresolved	Critical	Bug	WC Triage	sanity test 1 error: apply rmdir/rm on striped dir failed
LU-10226	Resolved	Fixed	Minor	Bug	Sebastien Buisson	sanity-sec test_27: fileset not cleared on default nodemap
LU-10227	Resolved	Fixed	Minor	Bug	John Hammond	ptlrpc_request_set simplification
LU-10228	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota test_53: inherit attribute should be cleared
LU-10229	Open	Unresolved	Minor	Bug	Sebastien Buisson	sanity-sec test_27: unable to add fileset info to default nodemap on MGS
LU-1023	Resolved	Fixed	Blocker	Bug	Di Wang	strange numbers shown in obdfilter-survey
LU-10230	Resolved	Fixed	Minor	Bug	James Nunez	sanity test_239: 4336 not synced
LU-10231	Resolved	Duplicate	Minor	Bug	Sebastien Buisson	sanity-sec test_27: mgs and default fileset mismatch
LU-10232	Resolved	Fixed	Major	Bug	WC Triage	kernel BUG at cl_object.c:206!
LU-10234	Resolved	Fixed	Minor	Bug	Quentin Bouget	tests: sanity-hsm: tests 34,35,36 are not using wait correctly
LU-10235	Resolved	Fixed	Minor	Improvement	Nathaniel Clark	mkdir should check for directory existence on client before taking write lock
LU-10236	Closed	Cannot Reproduce	Minor	Bug	Mikhail Pershin	while running fio , file is getting corrupt under /mnt/lustre/xxx
LU-10237	Resolved	Fixed	Critical	Bug	nasf	"ls" hangs on a particular directory
LU-10238	Open	Unresolved	Major	Bug	Hongchao Zhang	adding new OSTs causes quota reporting error
LU-10239	Resolved	Fixed	Critical	Bug	Zhenyu Xu	Lustre crash (client): The first extent to be fit in a RPC contains 17 chunks, which is over the limit 16.
LU-1024	Resolved	Fixed	Minor	Improvement	WC Triage	Test bug: replay-vbr.test_1c failed
LU-10240	Open	Unresolved	Minor	Bug	WC Triage	sanity test_117: hung at ofd_create_hdl()
LU-10241	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [RHEL6.9 2.6.32-696.16.1.el6]
LU-10242	Closed	Duplicate	Minor	Bug	WC Triage	parallel-scale no sub tests failed: test failed to respond and timed out
