key	status	resolution	priority	type	assignee	summary
LU-12766	Resolved	Fixed	Minor	Bug	Wang Shilong	sanity-quota test 3 fails with 'write success, but expect EDQUOT'
LU-12767	Resolved	Duplicate	Minor	Bug	WC Triage	review-ldiskfs-arm crashed during sanity test_103b
LU-12768	Resolved	Done	Minor	Bug	Patrick Farrell	readcache_max_filesize in 2.12?
LU-12769	Resolved	Fixed	Major	Bug	Alex Zhuravlev	replay-dual test 0b hangs in client mount
LU-1277	Closed	Fixed	Minor	Bug	Johann Lombardi	Initial IO is slow after mount on the client
LU-12770	Resolved	Fixed	Minor	Bug	Shaun Tancheff	Sanity quota test fixes for zfs
LU-12771	Resolved	Fixed	Minor	Question/Request	Peter Jones	jobid "stat.0"
LU-12772	Closed	Duplicate	Critical	Bug	Amir Shehata	bulk timeout after 2.12.2 clients upgrade
LU-12773	Resolved	Fixed	Minor	Bug	Oleg Drokin	sanity test 805 uses do_node instead of do_facet
LU-12774	Open	Unresolved	Minor	Bug	WC Triage	Lustre client OST stuck in "Evicted" state
LU-12775	Resolved	Fixed	Minor	Bug	Lai Siyao	conf-sanity test 32c fails with ‘mv remote dir failed’
LU-12776	Resolved	Fixed	Minor	Improvement	Joseph Gmitter	update lustre/ChangeLog to reflect primary kernels
LU-12777	Resolved	Fixed	Minor	Bug	Wang Shilong	conf-sanity test 103 fails with ‘set mdt quota type failed’
LU-12778	Resolved	Fixed	Minor	Bug	Sebastien Buisson	sanity-sec test 12 fails with 'nodemap_add failed with 1'
LU-12779	Resolved	Fixed	Minor	Bug	Andreas Dilger	Interop: sanity test 27D/34 fails with ‘llapi_layout_test failed’
LU-1278	Resolved	Fixed	Critical	Bug	Oleg Drokin	Client Panic - Lustre 1.8.6 and RHEL 6.1
LU-12780	Resolved	Fixed	Minor	Improvement	Neil Brown	Avoid using ptlrpc_thread where is in't needed
LU-12781	Resolved	Fixed	Minor	Bug	Mikhail Pershin	sanity test_272a crashes with SSK
LU-12782	Open	Unresolved	Minor	Improvement	Dongyang Li	Convert cl_object_attr_lock to rwlock
LU-12783	Resolved	Fixed	Minor	Bug	Andreas Dilger	interop: sanity test 27I fails with “multiop failed”
LU-12784	Resolved	Fixed	Minor	Bug	Patrick Farrell	interop: sanity test 102ha fails with “saving trusted.big on /mnt/lustre/f102ha.sanity failed”
LU-12785	Resolved	Fixed	Major	Improvement	Mikhail Pershin	DOM2: dynamic DoM component size as MDT becomes full
LU-12786	Resolved	Not a Bug	Critical	Bug	Dongyang Li	io hard read fails due to data verification fails
LU-12787	Resolved	Fixed	Minor	Bug	Alexander Boyko	sanity-quota: test 3 failure "write success, but expect EDQUOT"
LU-12788	Resolved	Won't Do	Minor	Improvement	Minh Diep - TLC	Support CentOS 7.7 for ARM
LU-12789	Resolved	Fixed	Critical	Improvement	Alexey Lyashkov	Mellanox MOFED 4.7 support.
LU-1279	Resolved	Fixed	Major	Bug	Hongchao Zhang	failure trying to mount two targets at the same time after boot
LU-12790	Resolved	Fixed	Minor	Bug	Emoly Liu	LustreError: 96800:0:(jobid.c:103:jobid_get_from_environ()) jobid: get 'PBS_JOBID' failed: rc = -75
LU-12791	Resolved	Fixed	Minor	Bug	Jian Yu	kernel update [RHEL8.0 4.18.0-80.11.2.el8_0]
LU-12792	Resolved	Won't Fix	Minor	Bug	Jian Yu	kernel update [RHEL7.7 3.10.0-1062.1.2.el7]
LU-12793	Resolved	Won't Fix	Minor	Bug	Jian Yu	kernel update [SLES12 SP4 4.12.14-95.32.1]
LU-12794	Open	Unresolved	Minor	Bug	WC Triage	sanity test_133c: FAIL: The counter for destroy on ost1 was not incremented
LU-12795	Resolved	Fixed	Minor	Bug	Shaun Tancheff	lp_utils is duplicated and not used.
LU-12796	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota test_17 time out
LU-12797	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_20 timed out
LU-12798	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota test_65: root file system becomes read-only
LU-12799	Resolved	Fixed	Major	Bug	Ann Koehler	NULL pointer dereference IP: ptlrpc_disconnect_and_idle_import
LU-128	Resolved	Fixed	Major	Bug	Niu Yawei	OSSs frequent crashes due to LBUG/[ASSERTION(last_rcvd>=le64_to_cpu(lcd->lcd_last_transno)) failed] in recovery
LU-1280	Resolved	Fixed	Critical	Bug	Jian Yu	kernel BUG at .../lustre-2.1.0/lustre/lvfs/fsfilt-ldiskfs.c:978
LU-12800	Resolved	Fixed	Minor	Bug	Andriy Skulysh	mdd_is_parent() goes into infinite loop
LU-12801	Resolved	Duplicate	Major	Improvement	WC Triage	Port "ldiskfs: don't search large block range if disk full" to RHEL 8
